id,key,type,value
36164393,name,regular,Belvedere Road
36164393,oneway,regular,yes
36164393,ref,regular,NH12
36164393,old,ref,NH117
36165294,city,addr,Kolkata
36165294,housenumber,addr,1
36165294,postcode,addr,700071
36165294,street,addr,Queen's Way
36165294,building,regular,yes
36165294,name,regular,Victoria Memorial
36165294,hi,name,विक्टोरिया मेमोरियल
36165294,tourism,regular,attraction
36165294,website,regular,http://www.victoriamemorial-cal.org/
36165294,wheelchair,regular,yes
36165294,wikidata,regular,Q1356352
36165294,wikipedia,regular,"en:Victoria Memorial, Kolkata"
36165632,highway,regular,secondary
36165632,maxspeed,regular,40
36165632,name,regular,Harish Mukherjee Road
36165827,alt_name,regular,Theatre Road
36165827,highway,regular,secondary
36165827,maxspeed,regular,40
36165827,name,regular,Shakespeare Sarani
36165827,old_name,regular,Theatre Road
36165827,oneway,regular,alternating
36165827,surface,regular,asphalt
36165828,highway,regular,secondary
36165828,maxspeed,regular,40
36165828,name,regular,Queen's Way
36165828,oneway,regular,alternating
36165828,sidewalk,regular,both
36166905,bicycle,regular,yes
36166905,bridge,regular,yes
36166905,highway,regular,trunk
36166905,layer,regular,1
36166905,maxspeed,regular,40
36166905,name,regular,Vidyasagar Setu
36166905,oneway,regular,yes
36166905,ref,regular,NH12
36166905,old,ref,NH117
36311853,intermittent,regular,no
36311853,natural,regular,water
36311853,water,regular,pond
36312698,access,regular,yes
36312698,bicycle,regular,yes
36312698,cycleway,regular,no
36312698,foot,regular,yes
36312698,highway,regular,trunk
36312698,lanes,regular,2
36312698,name,regular,Alipore Road
36312698,ref,regular,NH12
36312698,old,ref,NH117
36312698,surface,regular,asphalt
36313151,amenity,regular,swimming_pool
36313151,sport,regular,swimming
36920279,bicycle,regular,yes
36920279,bridge,regular,yes
36920279,highway,regular,trunk_link
36920279,layer,regular,1
36920279,maxspeed,regular,40
36920279,oneway,regular,yes
36920281,alt_name,regular,Mother Teresa Sarani
36920281,highway,regular,secondary
36920281,lanes,regular,6
36920281,maxspeed,regular,40
36920281,name,regular,Park Street
36920281,old_name,regular,Park Street
36920281,oneway,regular,alternating
40608384,highway,regular,tertiary
40608384,name,regular,Sterndale Road
40608384,surface,regular,asphalt
40608407,highway,regular,tertiary
40608407,name,regular,Sterndale Road
42758503,highway,regular,tertiary
42758503,maxspeed,regular,40
42758503,name,regular,Sadananda Road
44919461,access,regular,yes
44919461,bicycle,regular,yes
44919461,cycleway,regular,opposite
44919461,foot,regular,yes
44919461,highway,regular,trunk
44919461,maxspeed,regular,40
44919461,name,regular,Diamond Harbour Road
44919461,oneway,regular,yes
44919461,ref,regular,NH12
44919461,old,ref,NH117
44919461,source,regular,Yahoo hires
44919464,access,regular,yes
44919464,bicycle,regular,yes
44919464,cycleway,regular,opposite
44919464,foot,regular,yes
44919464,highway,regular,trunk
44919464,maxspeed,regular,40
44919464,name,regular,Diamond Harbour Road
44919464,oneway,regular,yes
44919464,ref,regular,NH12
44919464,old,ref,NH117
44919464,source,regular,Yahoo hires
44920151,waterway,regular,canal
44920151,width,regular,50
47060867,railway,regular,rail
51113083,highway,regular,secondary
51113083,maxspeed,regular,40
51113083,name,regular,Kalikapur Road (Prince Anwar Shah Bypass Connector)
51765557,highway,regular,secondary
51765557,maxspeed,regular,40
51765557,name,regular,Broad Street
51765557,source,regular,Yahoo hires
51765559,highway,regular,secondary
51765559,source,regular,Yahoo hires
